Ativo,Nome,Setor,Retorno_Anual_Pct,Volatilidade_Anual_Pct,Min_Mensal_Pct,Max_Mensal_Pct,Assimetria,Curtose,VaR_95_Mensal_Pct,CVaR_95_Mensal_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,JB_Stat,JB_PValue
PETR4,Petróleo Brasileiro S.A.,Petróleo e Gás,25.03195983596509,33.13145106944966,-18.88052208567228,26.97411534894693,0.26751569383657503,0.6054834489387524,-9.658976461058097,-14.393159732075345,-26.916053202345118,0.5593464589618687,1.0149176942317097,0.6528687927342234,0.7214917059730661
VALE3,Vale S.A.,Mineração,15.865696302142224,23.591846589984044,-11.41133067703488,14.24056640201045,0.04239359572031499,-0.9134474397996217,-8.633714324202577,-10.153973429473115,-25.495880628294476,0.39698869125905745,0.7943149277770779,0.8415750931088736,0.6565295685624633
ITUB4,Itaú Unibanco Holding S.A.,Finanças e Seguros,10.269888028945653,21.884521277719294,-17.09926975229632,11.01095070019895,-0.5770337447427465,1.0238550915676008,-6.063962306877255,-11.701749787340175,-22.75829262623642,0.17226275965121482,0.2356659985220675,2.3801510188162487,0.3041982933663785
BBDC4,Banco Bradesco S.A.,Finanças e Seguros,12.414149061842178,29.07763893296344,-16.9281926268823,17.99636037927576,0.2377288713044798,-0.24198814800489732,-8.363986837404042,-12.67485979064618,-28.757366556441553,0.20339165347904795,0.3718370641019333,0.2846183287816478,0.8673530603491706
ABEV3,Ambev S.A.,Bebidas,-5.1894547270051845,26.68684063023285,-16.962919341226808,12.97041822356349,-0.11296149927326059,-0.6013418655442759,-11.34767619224135,-14.25487854036894,-36.471960015199016,-0.43802317737688645,-0.704787388070104,0.4126532405285215,0.8135673053139358
B3SA3,B3 S.A.,Finanças e Seguros,27.51265734847468,28.276458658040866,-15.02715204907266,16.02597588174756,-0.18723258003578275,-0.6400683818419854,-10.249992483567253,-12.755995994232464,-23.410081392287665,0.7431148858698892,1.302589116508867,0.5499116895412408,0.7596056630467737
WEGE3,WEG S.A.,Máquinas e Equipamentos,33.78470047716034,24.005321228758753,-9.278173345283971,17.64218346549524,0.4432112952635542,-0.6006221885619407,-5.6806667657091685,-7.48959940735544,-11.345643489698807,1.1366105130254551,2.882121044547798,1.146492022389725,0.5636927129279474
RENT3,Localiza Rent a Car S.A.,Outros Serviços,33.94012137023916,27.886988153129767,-12.02511201056285,23.407262186316448,0.2865303832138094,0.1288923375846962,-9.333590662735661,-10.919316961112093,-25.890378190052648,0.983975796151351,2.044651725153993,0.34501187670665723,0.841553291356146
LREN3,Lojas Renner S.A.,Comércio,25.823669474004955,23.297397502227454,-9.44825555158445,19.30168459186157,0.18346055949005913,0.3007258496324763,-9.169592027913435,-9.341941755860669,-25.830663039672473,0.8294346813697723,1.3455849643359659,0.22506714419079682,0.8935673476767054
ELET3,Centrais Elétricas Brasileiras,Energia Elétrica,32.29645765959897,62.23750022045695,-26.50422045453095,43.40791695840217,0.8643831202354104,0.2449195752683928,-17.985615167292462,-22.37502380417557,-54.671171044901016,0.4144841545406395,0.9135779636655139,3.048618312541266,0.21777145095117056
