,PETR4,VALE3,ITUB4,BBDC4,ABEV3,B3SA3,WEGE3,RENT3,LREN3,ELET3
2018-01-31 23:59:59.999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28 23:59:59.999999999,0.08557210144448585,0.08328510247744364,0.0071693659960171486,-0.049330657259740916,0.005469475828746331,-0.01779544058353724,-0.012311766638889152,0.006187181373987818,-0.09235627960136898,0.19753561583121995
2018-03-31 23:59:59.999999999,-0.0023326345896740384,-0.05381952280381123,0.01858917559136494,0.01914069699974065,0.08992379846278621,0.04091566694767635,-0.028934654412290216,0.10407115416895682,-0.0027948483309861737,-0.1651108057696867
2018-04-30 23:59:59.999999999,0.07033091409575473,0.14240566402010452,-0.005571589633676567,-0.03747079601899259,-0.03122616577439465,-0.049672695175753734,0.022046208267443204,-0.02932554253931042,-0.04792844072918426,-0.09640601814039274
2018-05-31 23:59:59.999999999,-0.18880522085672283,0.03948146213249784,-0.17099269752296328,-0.169281926268823,-0.1696291934122681,-0.15027152049072662,-0.03432831353416636,-0.12025112010562854,-0.09448255551584454,-0.2650422045453095
2018-06-30 23:59:59.999999999,-0.09905797378478416,-0.020755085470084946,-0.06304229822384037,-0.08037926174369947,-0.08226711996140709,-0.05154173349034668,-0.05565300777975301,-0.038531359727718754,-0.007578556739547699,-0.18245827153820196
2018-07-31 23:59:59.999999999,0.1373055297830873,0.10063065418491708,0.10969086579303716,0.1343759292887936,0.07652836813195245,0.15128244183183823,0.13705970683076107,0.0008424600604476488,0.05013497995805352,0.34835494861639277
2018-08-31 23:59:59.999999999,-0.02110481511103156,0.005918137817458266,-0.044666407769716955,-0.072411470887502,-0.029275483258307256,-0.08919190233892169,0.03346925944128589,-0.09813521911661349,-0.08795388411980533,-0.08769592978166353
2018-09-30 23:59:59.999999999,0.090768588126698,0.10941792040830693,0.04341713330272327,0.010841375745805992,-0.027428447081514224,0.08031636695934527,0.033395411942707336,0.05804396611372822,0.09441449686201586,-0.019789985184888306
2018-10-31 23:59:59.999999999,0.26974115348946937,-0.05338949116951665,0.11010950700198953,0.17996360379275766,-0.11546837739511072,0.12591700653337562,-0.09278173345283974,0.23407262186316452,0.19301684591861573,0.41551544402604573
2018-11-30 23:59:59.999999999,-0.07745065787534809,-0.07143937130519538,0.09293469513951166,0.11499682160287282,0.0348802647896729,0.06066894904033798,-0.010050335854498072,-0.06613980252156824,0.03911841661353546,0.03881146408061946
2018-12-31 23:59:59.999999999,-0.0826032459567632,-0.03468555799280979,-0.013818449969975066,0.024983709506089736,-0.07507145309357045,-0.042778510287160225,-0.01286810799421632,0.10301306371987538,0.0832472715547023,-0.008220350402079045
2019-01-31 23:59:59.999999999,0.12032731728008564,-0.11411330677034887,0.08879457787102074,0.15834676531097996,0.1297041822356349,0.16025975881747562,0.0714982821986334,0.11272826500708572,0.0705639637008983,0.43407916958402176
2019-02-28 23:59:59.999999999,0.05624582659330534,0.03456067506245561,-0.04702446385672206,-0.04453950345467615,-0.01612009576765451,0.04108887978182971,-0.018183732413860777,0.03685015320526092,-0.05002169141497219,-0.01129347848156035
2019-03-31 23:59:59.999999999,0.03628845193076683,0.07817913988229086,-0.02254385081738705,-0.007209720887873877,-0.02348904234036198,-0.014833539421331777,-0.02051472530133235,-0.0411234069446003,0.014104015530780755,-0.007872987601852248
2019-04-30 23:59:59.999999999,-0.03374371388775118,-0.016431132827447598,-0.017144533084632946,-0.00517235985339834,0.09298478604230268,0.07003010838461882,0.03171397549105285,0.09073502646401288,0.07388340662363349,-0.08979129285882378
2019-05-31 23:59:59.999999999,-0.05548319409401471,-0.022200709974242432,0.03444357046943676,0.039667372780198974,-0.05109384429727435,0.0597192347045189,0.024981368188185266,0.049860022802848035,0.03281734639254187,0.05097214192045738
2019-06-30 23:59:59.999999999,0.0702705936641266,0.05595587703957824,0.03579580710429491,0.02031726099867941,0.019187947577453394,0.02911590483827949,0.1144529125139841,0.0769745275051536,0.07012882125235935,0.0241183094596338
2019-07-31 23:59:59.999999999,-0.049739173251779525,-0.03956040804710052,-0.04010950640184567,-0.0842152695441006,0.11796934213294538,0.12150986827854544,0.11483677569443411,0.07110549112046523,0.0063411753487478744,0.11104644772445804
2019-08-31 23:59:59.999999999,-0.014662456276039673,-0.08896616181911354,-0.0024273449754591402,-0.04541309009931682,-0.07261876858224812,0.06002491331389314,-0.05701025469426913,0.06680866965558051,0.0630756944532899,0.1538242202724753
2019-09-30 23:59:59.999999999,0.07732408342901916,0.04672946163367433,0.03205263147603249,0.029595590168726062,0.02791858968574206,-0.019267821350554232,0.07575313706862315,-0.03188519195756606,5.052861764392871e-06,-0.1347137568642889
2019-10-31 23:59:59.999999999,0.09811107133736516,-0.011585174332177576,0.034110963828973766,0.0670242291614046,-0.10219094091046271,0.1033415180784651,0.0510869173705541,-0.05145539331757088,0.005532517593111811,-0.014803933647414943
2019-11-30 23:59:59.999999999,-0.03506888445545926,0.057229032824037136,-0.03985601088548934,-0.05199184702991586,0.03782556494813676,-0.01373590800845113,0.17642183465495248,0.042173558733803816,0.020478531318856453,-0.1269596117395973
2019-12-31 23:59:59.999999999,0.04840553568450597,0.09046672107192841,0.06548662014621914,0.09644552892883379,0.05969751749909741,-0.10484839939392272,0.1316148519567051,0.10218330184098898,0.08272710994890145,0.08183001823241451
