Estratégia,Retorno_Anual_Pct,Volatilidade_Anual_Pct,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_Pct
Equal Weight,29.839718645601685,19.72010915841122,1.1967336720109227,1.5841572854061226,-18.880949177035674
Mean-Variance Optimization,42.450087276186245,19.48975112983561,1.8579040355602356,3.4871125264355327,-14.608424975085146
Equal Risk Contribution,28.74729390985664,18.62333089246974,1.2085536169556739,1.586470603359387,-18.189925917695405
