asset,avg_daily_volume_millions,avg_daily_qnegs,trading_days_pct,momentum_12_1,volatility_2014_2017,max_drawdown_2014_2017,downside_deviation,mean_return_2014_2017,completeness,data_points_2014_2017,test_period_months,momentum_score,volatility_score,drawdown_score,downside_score,selection_score,setor
LREN3,71.44020754499495,7814.7775530839235,0.9491362763915547,51.72166984380683,0.2673525947447903,-0.23932406381483495,0.1410627582818896,0.379543893191595,0.9791666666666666,47,24,0.6,0.7333333333333334,0.9333333333333333,0.7333333333333334,0.7266666666666667,Tecidos vestuário e calçados
WEGE3,29.097570828109202,6069.551061678463,0.9491362763915547,42.374440957203596,0.21827835021544395,-0.29566854358155137,0.1484396602527577,0.2607300585449972,0.9791666666666666,47,24,0.5333333333333333,0.8666666666666667,0.8,0.6666666666666667,0.6966666666666668,Motores compressores e outros
ABEV3,224.75821145803843,23582.01921132457,0.9491362763915547,24.51305150441042,0.1240550961814237,-0.15407236143148828,0.06435955028962374,0.11389813927198007,0.9791666666666666,47,24,0.2,0.9333333333333333,1.0,0.9333333333333333,0.6900000000000001,Cervejas e refrigerantes
AZZA3,6.248286510616785,755.8483316481294,0.9491362763915547,72.05227217085869,0.33663730280412524,-0.4209932024497339,0.13134100692817496,0.2819247835862488,0.9791666666666666,47,24,0.9333333333333333,0.4,0.4666666666666667,0.8,0.68,Tecidos vestuário e calçados
ALPA4,6.560041670374115,1496.0576339737108,0.9491362763915547,57.99913956522409,0.34717893834160957,-0.3942518859800712,0.14899510780311795,0.21633602123180773,0.9791666666666666,47,24,0.6666666666666666,0.33333333333333337,0.6,0.6,0.5566666666666666,Calçados
RENT3,41.94312321233569,5433.842264914055,0.9491362763915547,66.22746207124224,0.2992786053838077,-0.4330344499512132,0.18859698219415294,0.2745310450239678,0.9791666666666666,47,24,0.7333333333333333,0.6,0.4,0.33333333333333337,0.5533333333333333,Aluguel de carros
ITUB4,436.6759987168858,27194.029322548027,0.9491362763915547,25.553052881781646,0.2929322560203909,-0.283575772891278,0.1532772030890815,0.24821157125576315,0.9791666666666666,47,24,0.3333333333333333,0.6666666666666667,0.8666666666666667,0.4,0.5366666666666666,Bancos
ALUP11,6.088997898887766,1366.5540950455006,0.9491362763915547,5.111393754232719,0.26105050901766175,-0.33044889127602084,0.10454463535069737,0.1630636851840358,0.9791666666666666,47,24,0.06666666666666667,0.8,0.6666666666666666,0.8666666666666667,0.53,Desconhecido
B3SA3,169.0876590313448,21035.45803842265,0.9491362763915547,36.90700103026019,0.30110813951796644,-0.3186083789069094,0.14943066186735715,0.30584339065194854,0.9791666666666666,47,24,0.4,0.5333333333333333,0.7333333333333333,0.5333333333333333,0.5266666666666666,Desconhecido
BBDC4,295.35697677148636,22857.723963599594,0.9491362763915547,25.28030305897214,0.3266780981234588,-0.4180116778305335,0.1530751655144131,0.2629666628123833,0.9791666666666666,47,24,0.26666666666666666,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.41,Bancos
