Date,LREN3,WEGE3,ABEV3,AZZA3,ALPA4,RENT3,ITUB4,ALUP11,B3SA3,BBDC4
2018-01-31,0.07518371959401504,-0.02139037432613866,0.0342723004965475,0.09665089189570275,-0.08208955216995761,0.16886064461452133,0.2331890008174924,0.013676148775810804,0.1533391915523279,0.22259640374521417
2018-02-28,-0.08832807570844536,-0.019756200093167142,0.004565404795174199,-0.057261410790043765,0.07188663750873281,0.0031067960909647585,0.015349596019572642,-0.00937668642167011,-0.011809523806007527,-0.04901166410441138
2018-03-31,-0.019239406897092137,-0.02951536781827202,0.09156844972862088,-0.11038732393791395,0.00740071736234138,0.09966019236157986,0.007350454467883072,-0.017079889828727768,0.02582883577694539,0.001763026578602389
2018-04-30,-0.03380401672069766,0.02555555555398814,-0.029485049854995116,0.06276307752896648,-0.08554572270796457,-0.02152434721237484,-0.005349051929889659,-0.00895794217107071,-0.03767657127221735,-0.025594999615499714
2018-05-31,-0.09828536434997315,-0.026478873241825407,-0.1566110398157725,-0.2034203016082229,-0.1472437067223874,-0.10998918139175529,-0.15895471628438584,-0.10547550435701858,-0.1611132889138146,-0.15751096580921353
2018-06-30,-0.0035403950534550477,-0.059027777779938284,-0.07581483228995278,0.027442630720249994,-0.07914764073116343,-0.03503651445836087,-0.0634088826605983,-0.016752577312777683,-0.02625543941362518,-0.08520171064664228
2018-07-31,0.045780662800364746,0.14804895995406664,0.07641196009440243,-0.039425692206250584,0.05454545454584414,0.01010526312711213,0.12687864518554925,0.06553079946342666,0.145560407561387,0.1555112815655102
2018-08-31,-0.07154524664282791,0.02373247033503345,-0.030864197495289347,-0.04771084338206544,-0.050493071603487594,-0.09962484364970947,-0.05197758754165349,-0.06088560884894256,-0.07835662854661596,-0.07572903686789734
2018-09-30,0.0943068712278452,0.0426754988968332,-0.02653927818365842,0.08223684212548688,0.018287614294263177,0.060041732829994254,0.040160681080010585,0.03601833667782439,0.07714658267408847,0.012684508096387992
2018-10-31,0.21405544809106014,-0.07848101266520047,-0.11832061069123656,0.12510615041491602,0.23836734688569505,0.23521681996348054,0.11609690657418947,0.1024020226857818,0.14144453998294648,0.19333445686617234
2018-11-30,0.03956452470515348,-0.019230769223965938,0.04081632655957357,0.04035124397596501,0.06921555701103932,-0.039007092209918603,0.11048521762907737,0.04873853215131052,0.06779661018038285,0.13191727969159528
2018-12-31,0.07953459922766304,-0.013882961595398036,-0.06372358088756702,0.10200279336084517,0.05302096175298465,0.09074422216240574,-0.028815140865474986,0.011524848173600333,-0.048367794166407796,0.01102622903779249
2019-01-31,0.08228598529085063,0.09572649573147629,0.15025906732156158,0.0067765567814002114,0.18325526940700465,0.13229308007846186,0.10649368374071133,0.18340611360590997,0.17519611506215926,0.17874316925360478
2019-02-28,-0.04447852758224724,-0.03480100599166647,-0.01576576577532629,-0.007550960666898865,-0.051954478035616036,0.030257639312192053,-0.04615455353455422,0.05119926196883062,0.045136681494377884,-0.03812136211476924
2019-03-31,-0.005420271657175291,-0.020231510653316853,-0.03661327230134348,-0.07688011913316684,-0.010960334014467832,-0.04049055104654187,-0.029014990093160886,0.021061869293501623,-0.019562349113193878,-0.015682655065253903
2019-04-30,0.07892572286122435,0.025470653378870223,0.09382422802924983,0.017543859645946736,0.02176781004040773,0.10364741641350816,-0.015314445643404895,0.015664366285758513,0.0755070202901098,-0.0025651819110334984
2019-05-31,0.04526066349801372,0.03239740820888182,-0.05048859935344585,-0.0032958072092045265,0.19044544869793545,0.0471131550454591,0.04133849992356686,0.03451251078722439,0.07455758630084253,0.04366701020135433
2019-06-30,0.06594820216985031,0.12656903765122696,0.026300743319534803,-0.002616320277965767,0.10900216919309735,0.07559188902659786,0.035161910572931054,0.07589658047181413,0.021635714454596888,0.026460043779359177
2019-07-31,0.007030251399313903,0.12025532828812646,0.1181058495867704,0.012464817039684606,0.022004889984536424,0.07111329082830031,-0.03507938044056802,0.028682170548747,0.13095830321309831,-0.0812801745704178
2019-08-31,0.07023482122486846,-0.0633597332816086,-0.06826108622306382,-0.037529785543428784,0.18947368422712052,0.08012820514194519,-0.007201094618272452,-0.032403918611434546,0.056981398569384334,-0.049905146000157385
2019-09-30,-0.00415131257062884,0.08147378743725309,0.03262032090032152,0.027027027032611395,0.04505229283150691,-0.036805712969897875,0.03514296718631549,-0.023364485996579143,-0.016786890794799558,0.034592894727077494
2019-10-31,0.0009940357732816096,0.061005770746386245,-0.09632314863198155,0.18330353999461213,0.0496535796777271,-0.05646228496724115,0.02515488492493012,-0.023125996827574213,0.10200821542921878,0.06612701003987453
2019-11-30,0.02780536246714882,0.1600621600958172,0.03209169048651295,0.05593335600158822,0.15584891820664448,0.04347826085854023,-0.03897000865220879,0.05836734698564716,-0.011389521634580069,-0.05257928537870671
2019-12-31,0.0849728157541203,0.1704430865618698,0.07754894677145119,0.02789199964357847,0.05266497462702047,0.12269675207418573,0.07403461503991116,0.07558812184566266,-0.09426057816435318,0.1028239553061705
