Date,EW_Returns,MVO_Returns,ERC_Returns
2018-01-31,0.08942883749955355,0.05311150774992262,0.07605058731307998
2018-02-28,-0.014063512650930081,0.0026884656145727457,-0.015494925020105531
2018-03-31,0.005734968779396682,0.02580879272897795,0.002240329988616208
2018-04-30,-0.015961906840175483,-0.014168430898329634,-0.011079868563766457
2018-05-31,-0.1325082942494369,-0.08792075429145357,-0.1265403900316205
2018-06-30,-0.04167431396262634,-0.05031755683593747,-0.04012892055867072
2018-07-31,0.07889477420914123,0.0871178655059973,0.07784190803431326
2018-08-31,-0.054345459424345516,-0.04048445487333096,-0.048026803681131026
2018-09-30,0.04370193897190752,0.04869599299314172,0.043335354365262
2018-10-31,0.11692220681078047,0.0997460444873283,0.09502310765787225
2018-11-30,0.049064743047021256,-0.002822857252479944,0.04208934278200944
2018-12-31,0.01930641762004435,0.02766487586321419,0.017426384204444156
2019-01-31,0.12944355362731402,0.13015552925742993,0.12393201580669885
2019-02-28,-0.011223307092567763,-0.006526332131938405,-0.011347226148417492
2019-03-31,-0.02337941837841187,-0.02558902799308936,-0.024075088216774416
2019-04-30,0.04144714493906369,0.05686424303525841,0.04226121042296354
2019-05-31,0.04555078761006276,0.06594652837132972,0.039311518957771234
2019-06-30,0.05599499703610425,0.09500766637118387,0.059164148546399065
2019-07-31,0.03942553458775915,0.09003071904951446,0.04832402771921254
2019-08-31,0.013815734488535306,0.03667020788493721,0.004645238860059058
2019-09-30,0.017480088778318026,0.02510869287265909,0.02104366809256619
2019-10-31,0.031233560615923354,0.024247814235964976,0.030665280016494167
2019-11-30,0.04306482794364033,0.10096510926438595,0.052779315459047405
2019-12-31,0.06944046894596169,0.10699556254570272,0.07550566219080948
