asset,completeness,data_points_2014_2017,test_period_months,zero_returns_pct,roll_spread,autocorr_lag1,avg_abs_return,avg_daily_volume_millions,avg_daily_qnegs,avg_daily_qtits,trading_days_pct,momentum_12_1,volatility_2014_2017,max_drawdown_2014_2017,downside_deviation,mean_return_2014_2017,price_range_ratio,momentum_score,volatility_score,drawdown_score,downside_score,selection_score,setor
B3SA3,0.9791666666666666,47,24,0.0,0.0,0.13682402740702196,0.06710020447631797,169.0876590313448,21035.45803842265,35688999.79777553,1.0,36.41621160020717,0.2927017566291581,-0.29603827077912415,0.14170715988707777,0.30434949499667907,6.646010648708097,0.5,0.5,1.0,0.5,0.6,Desconhecido
AMER3,0.9791666666666666,47,24,0.0,0.0,0.14107749460108734,0.12872727696517366,14.979793169868556,2446.485338725986,8362.110212335692,1.0,65.85199424400633,0.5702217698018315,-0.7517861868218203,0.2546554834941318,0.14902143733789486,7.657154698696728,1.0,0.0,0.5,0.0,0.44999999999999996,Produtos diversos
