Comparacao,Sharpe_1,Sharpe_2,Diferenca_Sharpe,T_Stat_JK,P_Value_JK,Significante_5pct_JK,Correlacao,T_Stat_Retorno,P_Value_Retorno,Significante_5pct_Retorno
EW_Returns vs MVO_Returns,0.3454672538418976,0.5363306975295972,-0.19086344368769959,-1.9802325566817232,0.04767740316852054,True,0.8988160851956647,-2.021464592588697,0.055017759933715195,False
EW_Returns vs ERC_Returns,0.3454672538418976,0.34887937803972663,-0.0034121241978290473,-0.13861076309293405,0.8897577377009509,False,0.9931416109381033,0.6184406369640616,0.5423616216399855,False
MVO_Returns vs ERC_Returns,0.5363306975295972,0.34887937803972663,0.18745131948987054,2.254689001677787,0.02415285648904586,True,0.9247565573706459,2.604227548903305,0.015859043402337458,True
